######################################################################
#
# LoggerIdentifier    : 1858001C
# Comment             : 
# StartBatteryVoltage :      2953 mV
# EndBatteryVoltage   :      2933 mV
# TotalSampleCount    :    266826
# ResistanceOffset    :     11899.26821
# ResistanceScale     :     90961.56387
# TemperatureOffset   :         0.0009397284
# TemperatureLinear   :         0.0002205166
# TemperatureCubic    :         0.0000001287
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2005 10 18 16 03 03    26920    38276.369       19.416
2005 10 18 16 03 04    26936    38298.788       19.403
2005 10 18 16 03 05    26951    38319.813       19.391
2005 10 18 16 03 06    26967    38342.246       19.377
2005 10 18 16 03 07    26984    38366.091       19.363
2005 10 18 16 03 08    27002    38391.347       19.349
2005 10 18 16 03 09    27026    38425.038       19.329
2005 10 18 16 03 10    27057    38468.582       19.303
2005 10 18 16 03 11    27088    38512.154       19.278
2005 10 18 16 03 12    27116    38551.535       19.255
2005 10 18 16 03 13    27141    38586.718       19.234
2005 10 18 16 03 14    27163    38617.694       19.216
2005 10 18 16 03 15    27184    38647.275       19.199
2005 10 18 16 03 16    27204    38675.461       19.182
2005 10 18 16 03 17    27223    38702.249       19.167
2005 10 18 16 03 18    27242    38729.048       19.151
2005 10 18 16 03 19    27261    38755.858       19.136
2005 10 18 16 03 20    27278    38779.855       19.122
2005 10 18 16 03 21    27296    38805.273       19.107
2005 10 18 16 03 22    27313    38829.289       19.093
2005 10 18 16 03 23    27328    38850.487       19.081
2005 10 18 16 03 24    27345    38874.519       19.067
2005 10 18 16 03 25    27364    38901.389       19.051
2005 10 18 16 03 26    27385    38931.100       19.034
2005 10 18 16 03 27    27405    38959.410       19.018
2005 10 18 16 03 28    27425    38987.731       19.001
2005 10 18 16 03 29    27443    39013.231       18.987
2005 10 18 16 03 30    27461    39038.741       18.972
2005 10 18 16 03 31    27478    39062.844       18.958
2005 10 18 16 03 32    27492    39082.699       18.947
2005 10 18 16 03 33    27504    39099.723       18.937
2005 10 18 16 03 34    27517    39118.170       18.926
2005 10 18 16 03 35    27531    39138.043       18.915
2005 10 18 16 03 36    27546    39159.341       18.903
2005 10 18 16 03 37    27564    39184.909       18.888
2005 10 18 16 03 38    27582    39210.486       18.873
2005 10 18 16 03 39    27600    39236.074       18.858
2005 10 18 16 03 40    27618    39261.671       18.844
2005 10 18 16 03 41    27633    39283.010       18.832
2005 10 18 16 03 42    27646    39301.510       18.821
2005 10 18 16 03 43    27657    39317.167       18.812
2005 10 18 16 03 44    27668    39332.829       18.803
2005 10 18 16 03 45    27679    39348.494       18.794
2005 10 18 16 03 46    27694    39369.861       18.782
2005 10 18 16 03 47    27710    39392.661       18.769
2005 10 18 16 03 48    27723    39411.191       18.758
2005 10 18 16 03 49    27735    39428.301       18.749
2005 10 18 16 03 50    27746    39443.989       18.740
2005 10 18 16 03 51    27754    39455.401       18.733
2005 10 18 16 03 52    27765    39471.096       18.724
2005 10 18 16 03 53    27778    39489.649       18.714
2005 10 18 16 03 54    27793    39511.063       18.702
2005 10 18 16 03 55    27808    39532.483       18.689
2005 10 18 16 03 56    27820    39549.625       18.680
2005 10 18 16 03 57    27831    39565.342       18.671
2005 10 18 16 03 58    27841    39579.634       18.663
2005 10 18 16 03 59    27849    39591.070       18.656
2005 10 18 16 04 00    27859    39605.367       18.648
2005 10 18 16 04 01    27872    39623.958       18.637
2005 10 18 16 04 02    27887    39645.416       18.625
2005 10 18 16 04 03    27903    39668.312       18.612
2005 10 18 16 04 04    27920    39692.648       18.599
2005 10 18 16 04 05    27938    39718.426       18.584
2005 10 18 16 04 06    27954    39741.348       18.571
2005 10 18 16 04 07    27969    39762.844       18.559
2005 10 18 16 04 08    27980    39778.613       18.550
2005 10 18 16 04 09    27991    39794.385       18.541
2005 10 18 16 04 10    28000    39807.293       18.534
2005 10 18 16 04 11    28009    39820.203       18.526
2005 10 18 16 04 12    28021    39837.420       18.517
2005 10 18 16 04 13    28038    39861.820       18.503
2005 10 18 16 04 14    28060    39893.408       18.485
2005 10 18 16 04 15    28078    39919.265       18.471
2005 10 18 16 04 16    28093    39940.820       18.459
2005 10 18 16 04 17    28107    39960.945       18.447
