######################################################################
#
# LoggerIdentifier    : 1854540C
# Comment             : 
# PC Time             : 22 January 2015 , 13:51:59
# Logger Time         : 22 January 2015 , 13:51:56
# StartBatteryVoltage :      2889 mV
# EndBatteryVoltage   :      2890 mV
# TotalSampleCount    :     62143
# ResistanceOffset    :     11910.84759
# ResistanceScale     :     90885.03517
# TemperatureOffset   :         0.0010743547
# TemperatureLinear   :         0.0002113377
# TemperatureCubic    :         0.0000000922
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2015 01 22 10 50 58    23755    33976.067       22.355
2015 01 22 10 50 59    23755    33976.067       22.355
2015 01 22 10 51 00    23756    33977.375       22.354
2015 01 22 10 51 01    23756    33977.375       22.354
2015 01 22 10 51 02    23756    33977.375       22.354
2015 01 22 10 51 03    23755    33976.067       22.355
2015 01 22 10 51 04    23755    33976.067       22.355
2015 01 22 10 51 05    23756    33977.375       22.354
2015 01 22 10 51 06    23755    33976.067       22.355
2015 01 22 10 51 07    23755    33976.067       22.355
2015 01 22 10 51 08    23755    33976.067       22.355
2015 01 22 10 51 09    23756    33977.375       22.354
2015 01 22 10 51 10    23755    33976.067       22.355
2015 01 22 10 51 11    23755    33976.067       22.355
2015 01 22 10 51 12    23756    33977.375       22.354
2015 01 22 10 51 13    23755    33976.067       22.355
2015 01 22 10 51 14    23755    33976.067       22.355
2015 01 22 10 51 15    23755    33976.067       22.355
2015 01 22 10 51 16    23755    33976.067       22.355
2015 01 22 10 51 17    23755    33976.067       22.355
2015 01 22 10 51 18    23755    33976.067       22.355
2015 01 22 10 51 19    23755    33976.067       22.355
2015 01 22 10 51 20    23754    33974.758       22.356
2015 01 22 10 51 21    23756    33977.375       22.354
2015 01 22 10 51 22    23755    33976.067       22.355
2015 01 22 10 51 23    23755    33976.067       22.355
2015 01 22 10 51 24    23755    33976.067       22.355
2015 01 22 10 51 25    23755    33976.067       22.355
2015 01 22 10 51 26    23755    33976.067       22.355
2015 01 22 10 51 27    23755    33976.067       22.355
2015 01 22 10 51 28    23755    33976.067       22.355
2015 01 22 10 51 29    23756    33977.375       22.354
2015 01 22 10 51 30    23755    33976.067       22.355
2015 01 22 10 51 31    23755    33976.067       22.355
2015 01 22 10 51 32    23755    33976.067       22.355
2015 01 22 10 51 33    23755    33976.067       22.355
2015 01 22 10 51 34    23755    33976.067       22.355
2015 01 22 10 51 35    23755    33976.067       22.355
2015 01 22 10 51 36    23755    33976.067       22.355
2015 01 22 10 51 37    23756    33977.375       22.354
2015 01 22 10 51 38    23756    33977.375       22.354
2015 01 22 10 51 39    23756    33977.375       22.354
2015 01 22 10 51 40    23756    33977.375       22.354
2015 01 22 10 51 41    23756    33977.375       22.354
2015 01 22 10 51 42    23756    33977.375       22.354
2015 01 22 10 51 43    23756    33977.375       22.354
2015 01 22 10 51 44    23756    33977.375       22.354
2015 01 22 10 51 45    23757    33978.684       22.353
2015 01 22 10 51 46    23756    33977.375       22.354
2015 01 22 10 51 47    23757    33978.684       22.353
2015 01 22 10 51 48    23757    33978.684       22.353
2015 01 22 10 51 49    23756    33977.375       22.354
2015 01 22 10 51 50    23757    33978.684       22.353
2015 01 22 10 51 51    23757    33978.684       22.353
2015 01 22 10 51 52    23757    33978.684       22.353
2015 01 22 10 51 53    23758    33979.993       22.352
2015 01 22 10 51 54    23757    33978.684       22.353
2015 01 22 10 51 55    23758    33979.993       22.352
2015 01 22 10 51 56    23757    33978.684       22.353
2015 01 22 10 51 57    23757    33978.684       22.353
2015 01 22 10 51 58    23757    33978.684       22.353
2015 01 22 10 51 59    23759    33981.302       22.351
2015 01 22 10 52 00    23758    33979.993       22.352
2015 01 22 10 52 01    23759    33981.302       22.351
2015 01 22 10 52 02    23759    33981.302       22.351
2015 01 22 10 52 03    23760    33982.611       22.351
2015 01 22 10 52 04    23759    33981.302       22.351
2015 01 22 10 52 05    23760    33982.611       22.351
2015 01 22 10 52 06    23759    33981.302       22.351
2015 01 22 10 52 07    23759    33981.302       22.351
2015 01 22 10 52 08    23760    33982.611       22.351
2015 01 22 10 52 09    23760    33982.611       22.351
2015 01 22 10 52 10    23760    33982.611       22.351
2015 01 22 10 52 11    23761    33983.920       22.350
2015 01 22 10 52 12    23760    33982.611       22.351
2015 01 22 10 52 13    23760    33982.611       22.351
2015 01 22 10 52 14    23760    33982.611       22.351
2015 01 22 10 52 15    23760    33982.611       22.351
2015 01 22 10 52 16    23760    33982.611       22.351
2015 01 22 10 52 17    23761    33983.920       22.350
2015 01 22 10 52 18    23761    33983.920       22.350
2015 01 22 10 52 19    23762    33985.228       22.349
2015 01 22 10 52 20    23762    33985.228       22.349
2015 01 22 10 52 21    23762    33985.228       22.349
2015 01 22 10 52 22    23761    33983.920       22.350
2015 01 22 10 52 23    23762    33985.228       22.349
2015 01 22 10 52 24    23762    33985.228       22.349
2015 01 22 10 52 25    23763    33986.537       22.348
2015 01 22 10 52 26    23763    33986.537       22.348
2015 01 22 10 52 27    23763    33986.537       22.348
2015 01 22 10 52 28    23763    33986.537       22.348
2015 01 22 10 52 29    23763    33986.537       22.348
2015 01 22 10 52 30    23763    33986.537       22.348
2015 01 22 10 52 31    23763    33986.537       22.348
2015 01 22 10 52 32    23764    33987.846       22.347
2015 01 22 10 52 33    23764    33987.846       22.347
2015 01 22 10 52 34    23764    33987.846       22.347
2015 01 22 10 52 35    23764    33987.846       22.347
2015 01 22 10 52 36    23764    33987.846       22.347
2015 01 22 10 52 37    23764    33987.846       22.347
2015 01 22 10 52 38    23764    33987.846       22.347
2015 01 22 10 52 39    23764    33987.846       22.347
2015 01 22 10 52 40    23764    33987.846       22.347
2015 01 22 10 52 41    23764    33987.846       22.347
2015 01 22 10 52 42    23764    33987.846       22.347
2015 01 22 10 52 43    23764    33987.846       22.347
2015 01 22 10 52 44    23765    33989.155       22.347
2015 01 22 10 52 45    23765    33989.155       22.347
2015 01 22 10 52 46    23764    33987.846       22.347
2015 01 22 10 52 47    23764    33987.846       22.347
2015 01 22 10 52 48    23764    33987.846       22.347
2015 01 22 10 52 49    23765    33989.155       22.347
2015 01 22 10 52 50    23765    33989.155       22.347
2015 01 22 10 52 51    23765    33989.155       22.347
2015 01 22 10 52 52    23765    33989.155       22.347
2015 01 22 10 52 53    23765    33989.155       22.347
2015 01 22 10 52 54    23766    33990.464       22.346
2015 01 22 10 52 55    23765    33989.155       22.347
2015 01 22 10 52 56    23766    33990.464       22.346
2015 01 22 10 52 57    23766    33990.464       22.346
2015 01 22 10 52 58    23765    33989.155       22.347
2015 01 22 10 52 59    23766    33990.464       22.346
2015 01 22 10 53 00    23766    33990.464       22.346
2015 01 22 10 53 01    23765    33989.155       22.347
2015 01 22 10 53 02    23766    33990.464       22.346
2015 01 22 10 53 03    23766    33990.464       22.346
2015 01 22 10 53 04    23766    33990.464       22.346
2015 01 22 10 53 05    23766    33990.464       22.346
2015 01 22 10 53 06    23766    33990.464       22.346
2015 01 22 10 53 07    23766    33990.464       22.346
2015 01 22 10 53 08    23765    33989.155       22.347
2015 01 22 10 53 09    23766    33990.464       22.346
2015 01 22 10 53 10    23766    33990.464       22.346
2015 01 22 10 53 11    23767    33991.774       22.345
2015 01 22 10 53 12    23766    33990.464       22.346
2015 01 22 10 53 13    23766    33990.464       22.346
2015 01 22 10 53 14    23767    33991.774       22.345
2015 01 22 10 53 15    23767    33991.774       22.345
2015 01 22 10 53 16    23767    33991.774       22.345
2015 01 22 10 53 17    23767    33991.774       22.345
2015 01 22 10 53 18    23767    33991.774       22.345
2015 01 22 10 53 19    23767    33991.774       22.345
2015 01 22 10 53 20    23767    33991.774       22.345
2015 01 22 10 53 21    23768    33993.083       22.344
2015 01 22 10 53 22    23768    33993.083       22.344
2015 01 22 10 53 23    23768    33993.083       22.344
2015 01 22 10 53 24    23769    33994.392       22.343
2015 01 22 10 53 25    23769    33994.392       22.343
2015 01 22 10 53 26    23769    33994.392       22.343
2015 01 22 10 53 27    23769    33994.392       22.343
2015 01 22 10 53 28    23769    33994.392       22.343
2015 01 22 10 53 29    23769    33994.392       22.343
2015 01 22 10 53 30    23770    33995.701       22.343
2015 01 22 10 53 31    23769    33994.392       22.343
2015 01 22 10 53 32    23770    33995.701       22.343
2015 01 22 10 53 33    23770    33995.701       22.343
2015 01 22 10 53 34    23770    33995.701       22.343
2015 01 22 10 53 35    23770    33995.701       22.343
2015 01 22 10 53 36    23770    33995.701       22.343
2015 01 22 10 53 37    23770    33995.701       22.343
2015 01 22 10 53 38    23771    33997.010       22.342
2015 01 22 10 53 39    23770    33995.701       22.343
2015 01 22 10 53 40    23771    33997.010       22.342
2015 01 22 10 53 41    23771    33997.010       22.342
2015 01 22 10 53 42    23771    33997.010       22.342
2015 01 22 10 53 43    23771    33997.010       22.342
2015 01 22 10 53 44    23771    33997.010       22.342
2015 01 22 10 53 45    23771    33997.010       22.342
2015 01 22 10 53 46    23772    33998.319       22.341
2015 01 22 10 53 47    23771    33997.010       22.342
2015 01 22 10 53 48    23771    33997.010       22.342
2015 01 22 10 53 49    23772    33998.319       22.341
2015 01 22 10 53 50    23772    33998.319       22.341
2015 01 22 10 53 51    23772    33998.319       22.341
2015 01 22 10 53 52    23772    33998.319       22.341
2015 01 22 10 53 53    23772    33998.319       22.341
2015 01 22 10 53 54    23772    33998.319       22.341
2015 01 22 10 53 55    23772    33998.319       22.341
2015 01 22 10 53 56    23772    33998.319       22.341
2015 01 22 10 53 57    23772    33998.319       22.341
2015 01 22 10 53 58    23772    33998.319       22.341
2015 01 22 10 53 59    23772    33998.319       22.341
2015 01 22 10 54 00    23772    33998.319       22.341
2015 01 22 10 54 01    23772    33998.319       22.341
2015 01 22 10 54 02    23772    33998.319       22.341
2015 01 22 10 54 03    23773    33999.628       22.340
2015 01 22 10 54 04    23773    33999.628       22.340
2015 01 22 10 54 05    23772    33998.319       22.341
2015 01 22 10 54 06    23773    33999.628       22.340
2015 01 22 10 54 07    23773    33999.628       22.340
2015 01 22 10 54 08    23773    33999.628       22.340
2015 01 22 10 54 09    23773    33999.628       22.340
2015 01 22 10 54 10    23773    33999.628       22.340
2015 01 22 10 54 11    23774    34000.938       22.339
2015 01 22 10 54 12    23773    33999.628       22.340
2015 01 22 10 54 13    23773    33999.628       22.340
2015 01 22 10 54 14    23773    33999.628       22.340
2015 01 22 10 54 15    23773    33999.628       22.340
2015 01 22 10 54 16    23773    33999.628       22.340
2015 01 22 10 54 17    23774    34000.938       22.339
2015 01 22 10 54 18    23773    33999.628       22.340
2015 01 22 10 54 19    23774    34000.938       22.339
2015 01 22 10 54 20    23773    33999.628       22.340
2015 01 22 10 54 21    23773    33999.628       22.340
2015 01 22 10 54 22    23773    33999.628       22.340
2015 01 22 10 54 23    23774    34000.938       22.339
2015 01 22 10 54 24    23774    34000.938       22.339
2015 01 22 10 54 25    23773    33999.628       22.340
2015 01 22 10 54 26    23774    34000.938       22.339
2015 01 22 10 54 27    23773    33999.628       22.340
2015 01 22 10 54 28    23774    34000.938       22.339
2015 01 22 10 54 29    23774    34000.938       22.339
2015 01 22 10 54 30    23774    34000.938       22.339
2015 01 22 10 54 31    23774    34000.938       22.339
2015 01 22 10 54 32    23774    34000.938       22.339
2015 01 22 10 54 33    23774    34000.938       22.339
2015 01 22 10 54 34    23774    34000.938       22.339
2015 01 22 10 54 35    23774    34000.938       22.339
2015 01 22 10 54 36    23773    33999.628       22.340
2015 01 22 10 54 37    23774    34000.938       22.339
2015 01 22 10 54 38    23774    34000.938       22.339
2015 01 22 10 54 39    23774    34000.938       22.339
2015 01 22 10 54 40    23774    34000.938       22.339
2015 01 22 10 54 41    23774    34000.938       22.339
2015 01 22 10 54 42    23774    34000.938       22.339
2015 01 22 10 54 43    23774    34000.938       22.339
2015 01 22 10 54 44    23775    34002.247       22.338
2015 01 22 10 54 45    23774    34000.938       22.339
2015 01 22 10 54 46    23775    34002.247       22.338
2015 01 22 10 54 47    23774    34000.938       22.339
